,company_name,rating,company_reviews,company_age,number_of_employees
20569,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
20570,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
20571,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
20572,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
20573,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
20574,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
20575,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
20576,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
20577,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
20578,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
20579,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
20580,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
20581,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
20582,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
20583,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
20584,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
20585,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
20586,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
20587,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
20588,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
20589,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
20590,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
20591,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
20592,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
20593,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
20594,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
20595,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
20596,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
20597,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
20598,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
20599,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
20600,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
20601,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
20602,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
20603,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
20604,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
20605,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
20606,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
20607,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
20608,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
20609,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
20610,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
20611,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
20612,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
20613,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
20614,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
20615,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
20616,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
20617,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
20618,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
20619,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
20620,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
20621,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
20622,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
20623,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
20624,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
20625,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
20626,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
20627,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
20628,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
20629,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
20630,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
20631,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
20632,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
20633,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
20634,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
20635,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
20636,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
20637,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
20638,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
20639,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
20640,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
20641,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
20642,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
20643,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
20644,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
20645,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
20646,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
20647,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
20648,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
20649,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
20650,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
20651,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
20652,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
20653,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
20654,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
20655,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
20656,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
20657,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
20658,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
20659,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
20660,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
20661,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
20662,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
20663,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
20664,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
20665,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
20666,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
20667,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
20668,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
20669,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
20670,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
20671,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
20672,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
20673,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
20674,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
20675,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
20676,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
20677,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
20678,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
20679,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
20680,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
20681,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
20682,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
20683,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
20684,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
20685,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
20686,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
20687,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
20688,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
20689,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
20690,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
20691,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
20692,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
20693,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
20694,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
20695,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
20696,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
20697,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
20698,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
20699,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
20700,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
20701,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
20702,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
20703,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
20704,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
20705,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
20706,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
20707,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
20708,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
20709,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
20710,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
20711,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
20712,Kotak Mahindra B...,3.9,(14.2k Reviews),20 years old,10k-50k Employees (India)
20713,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
20714,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
20715,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
20716,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
20717,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
20718,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
20719,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
20720,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
20721,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
20722,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
20723,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
20724,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
20725,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
20726,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
20727,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
20728,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
20729,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
20730,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
20731,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
20732,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
20733,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
20734,Kotak Mahindra B...,3.9,(14.2k Reviews),20 years old,10k-50k Employees (India)
20735,Deloitte,4.1,(11k Reviews),178 years old,10k-50k Employees (India)
20736,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
20737,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
20738,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
20739,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
20740,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
20741,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
20742,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
20743,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
20744,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
20745,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
20746,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
20747,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
20748,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
20749,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
20750,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
20751,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
20752,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
20753,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
20754,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
20755,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
20756,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
20757,Kotak Mahindra B...,3.9,(14.2k Reviews),20 years old,10k-50k Employees (India)
20758,Deloitte,4.1,(11k Reviews),178 years old,10k-50k Employees (India)
20759,Reliance Industr...,4.1,(47.7k Reviews),50 years old,10k-50k Employees (India)
20760,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
20761,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
20762,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
20763,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
20764,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
20765,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
20766,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
20767,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
20768,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
20769,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
20770,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
20771,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
20772,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
20773,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
20774,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
20775,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
20776,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
20777,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
20778,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
20779,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
20780,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
20781,Kotak Mahindra B...,3.9,(14.2k Reviews),20 years old,10k-50k Employees (India)
20782,Deloitte,4.1,(11k Reviews),178 years old,10k-50k Employees (India)
20783,Reliance Industr...,4.1,(47.7k Reviews),50 years old,10k-50k Employees (India)
20784,Bharti Airtel,4.1,(12.9k Reviews),28 years old,10k-50k Employees (India)
20785,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
20786,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
20787,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
20788,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
20789,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
20790,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
20791,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
20792,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
20793,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
20794,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
20795,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
20796,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
20797,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
20798,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
20799,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
20800,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
20801,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
20802,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
20803,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
20804,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
20805,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
20806,Kotak Mahindra B...,3.9,(14.2k Reviews),20 years old,10k-50k Employees (India)
20807,Deloitte,4.1,(11k Reviews),178 years old,10k-50k Employees (India)
20808,Reliance Industr...,4.1,(47.7k Reviews),50 years old,10k-50k Employees (India)
20809,Bharti Airtel,4.1,(12.9k Reviews),28 years old,10k-50k Employees (India)
20810,BYJU'S,3.4,(14.4k Reviews),12 years old,1k-5k Employees (India)
20811,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
20812,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
20813,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
20814,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
20815,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
20816,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
20817,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
20818,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
20819,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
20820,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
20821,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
20822,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
20823,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
20824,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
20825,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
20826,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
20827,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
20828,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
20829,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
20830,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
20831,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
20832,Kotak Mahindra B...,3.9,(14.2k Reviews),20 years old,10k-50k Employees (India)
20833,Deloitte,4.1,(11k Reviews),178 years old,10k-50k Employees (India)
20834,Reliance Industr...,4.1,(47.7k Reviews),50 years old,10k-50k Employees (India)
20835,Bharti Airtel,4.1,(12.9k Reviews),28 years old,10k-50k Employees (India)
20836,BYJU'S,3.4,(14.4k Reviews),12 years old,1k-5k Employees (India)
20837,Tata Motors,4.1,(12.5k Reviews),78 years old,10k-50k Employees (India)
20838,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
20839,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
20840,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
20841,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
20842,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
20843,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
20844,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
20845,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
20846,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
20847,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
20848,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
20849,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
20850,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
20851,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
20852,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
20853,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
20854,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
20855,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
20856,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
20857,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
20858,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
20859,Kotak Mahindra B...,3.9,(14.2k Reviews),20 years old,10k-50k Employees (India)
20860,Deloitte,4.1,(11k Reviews),178 years old,10k-50k Employees (India)
20861,Reliance Industr...,4.1,(47.7k Reviews),50 years old,10k-50k Employees (India)
20862,Bharti Airtel,4.1,(12.9k Reviews),28 years old,10k-50k Employees (India)
20863,BYJU'S,3.4,(14.4k Reviews),12 years old,1k-5k Employees (India)
20864,Tata Motors,4.1,(12.5k Reviews),78 years old,10k-50k Employees (India)
20865,Flipkart,4.2,(12.8k Reviews),16 years old,10k-50k Employees (India)
20866,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
20867,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
20868,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
20869,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
20870,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
20871,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
20872,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
20873,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
20874,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
20875,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
20876,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
20877,Amazon,4.2,(19.8k Reviews),29 years old,1 Lakh+ Employees (India)
20878,Axis Bank,3.9,(19.6k Reviews),30 years old,50k-1 Lakh Employees (India)
20879,Concentrix Corpo...,4.0,(15.8k Reviews),40 years old,10k-50k Employees (India)
20880,IBM,4.2,(16k Reviews),112 years old,1 Lakh+ Employees (India)
20881,Reliance Jio,4.0,(15.6k Reviews),16 years old,50k-1 Lakh Employees (India)
20882,Larsen & Toubro ...,4.1,(25.4k Reviews),77 years old,10k-50k Employees (India)
20883,HDB Financial Se...,4.0,(14k Reviews),16 years old,1 Lakh+ Employees (India)
20884,Vodafone Idea,4.2,(13.6k Reviews),5 years old,10k-50k Employees (India)
20885,Teleperformance,3.6,(15.3k Reviews),45 years old,50k-1 Lakh Employees (India)
20886,Reliance Retail,4.1,(18.2k Reviews),17 years old,1 Lakh+ Employees (Global)
20887,Kotak Mahindra B...,3.9,(14.2k Reviews),20 years old,10k-50k Employees (India)
20888,Deloitte,4.1,(11k Reviews),178 years old,10k-50k Employees (India)
